,Type,Script
0,0,gsavjgecaladdin complete script compiled ben scripps rqnpqcmuvmcsvcmichedu portions copyright c walt disney company oh come land faraway place caravan camels roam cut ear flat immense like face heat i
1,0,ntense barbaric heyit home wind back sun west sand glass right come stop hop carpet fly another arabian night arabian nights like arabian days often hotter hot lot good ways arabian nights neath arabi
2,0,an moons fool could fall fall hard dunes ah salaam good evening worthy friend please please come closercamera zooms hitting face close little close camera zooms back cutherewelcome agrabah city myster
3,0,y enchantment finest merchandise side river jordan sale today come heh heh look yes combination hookah coffee makeralso makes julienne fries break taps table notit falls apartit broke ooohhh look pull
4,0,s tupperware never seen one intact famous dead sea tupperware listen pries open makes raspberry sound ah still good camera begins pan right hurries catch wait go stop pani see youre interested excepti
5,0,onally rare think would rewarded considerthis pulls magic lamp sleeve fooled commonplace appearance like many things outside inside counts another pan one slower left rushes catch ordinary lamp change
6,0,d course man life man liked lamp seemed diamond rough perhaps would like hear tale pours shiny sand lamp hand begins dark night throws sand sky forms starry nightscape dark man waits dark purpose came
7,0,ra tilts find sitting horse shoulder comes riding pair youare late gazeema thousand apologies one gazeemi slit throats get pulls half medallion reaches yanks back ah ah ahhh treasure squawks flies gra
8,0,bs medallion ouch trust pungent friend get coming coming awk pulls second half medallion connects insect medallion begins glow finally flies hand scaring horses towards dunes quickly follow trail ride
9,0, following glowing speck light reaches large dune separates two halves plunge dune remains two glowing points light dune dune begins rise transforming giant lion head glowing points serving eyes last 
10,0,years searching wonders awk wonders allah remember bring lamp rest treasure lamp mine starts approach lion mouth forms entrance chuckles goes awk lamp awk lamp alone opens normal english jeez whered y
11,0,a dig bozo puts finger lips shushes reaches blown away roar speaking disturbs slumber humble thief know one may enter one whose worth lies far within diamond rough turns questioning look waiting go he
12,0,sitates moves one foot inside great apprehension plants foot nothing happens relieved begins trek another roar comes turns back lion mouth slams shut dune collapses back normal left two separated halv
13,0,es medallion seek thee diamond rough unburied sand coughing ca believe believe never gonna get hold stupid lamp forget look look ticked molting flies shoulder patience patience obviously less worthy e
14,0,xtremely sarcastically oh big surprise incredi think gonna heart attack die surprise whatre gonna got big problem herea big prob pinches beak shut yes one may enter must find one thisdiamond rough cut
15,0, rooftop rushes edge carrying loaf bread almost drops edge stop thief hands trophy street rat looks back bread loaf bread jumps landing two ropes strung buildings drying clothes skies collecting bits 
16,0,pieces clothing goes finally nearing end rope window woman reaches slams shutters closed slams shutters falls street fall broken numerous awnings pile clothes around pulls top layer clothes enjoy brea
17,0,d wo get away easy think easy looks three women laughing two way find pulls sheet wraps disguise rushes women morning ladies woman getting trouble little early today trouble way youre trouble get caug
18,0,ht hand grabs shoulder yanks back first disguise falls trouble timea screeching sound turban pulled eyes dances head laughing perfect timing hello come let get outta gotta keepone jump ahead breadline
19,0, one swing ahead sword steal ca afford everything battles wielding sword dodges couple swings pulls pants raspberries dodges attack swings destroys barrel fish runs pulls fish lower body pair pants on
20,0,e jump ahead lawmen joke guys appreciate broke scamper pile barrels kick one top another guards one time riffraff street rat scoundrel take little snack guys scampers top platform guards shake platfor
21,0,m back fro trying knock guards rip open take back guys take hint gotta face facts youre friend women jumps platform certain death grab hands like acrobat pair swing harem oh sad hit bottom become onem
22,0,an rise crime finds plate full fruit stuffs mouth full like chipmunk woman id blame parents except got em gotta eat live gotta steal eat tell got time exit cut muscleman flexing crowd guards rush past
23,0, cut behind muscleman matching moves make mistake discovered one jump ahead slowpokes one skip ahead doom next time gonna use nom de plume one jump ahead hitmen one hit ahead flock think take stroll a
24,0,round block chase sequence pursued guards race flock sheep hurdle man sleeping bed nails course one extremely large lands disguises jewels discovers crowd stop thief vandal outrage scandal let hasty s
25,0,urrounded guards front door door opens large ugly lady comes lady still think rather tasty tumbles away puts arm around acting like theyre chums gotta eat live gotta steal eat otherwise wed get along 
26,0,guards wrong jump pile fight stop gone sneaking away barrels run across flaming pit followed guards hop screaming pain cross rocks pass sword swallower goes back pulls sword swallower mouth advances g
27,0,uards retreat fear got sword idiotwe got swords sets sword gently runs surrounded guards coming left right jumps climbs robe trick done street guards crash one jump ahead hoofbeats crowd vandal one ho
28,0,p ahead hump crowd street rat one trick ahead disaster crowd scoundrel theyre quickbut much faster crowd take guards chase staircase room grabs carpet jumps window goes better throw hand wish happy la
29,0,ndin gotta jump guards follow window go straight street land pile sign crazy hakim discount fertilizer uses carpet parachute land safely danger highfive esteemed effendi feast right breaks bread two g
30,0,ives half begins eat looks sees two children rummaging garbage food girl sees drops find tries hide looks bread uhoh takes big bite food gets walks children girl pulls brother back go ontake children 
31,0,giggle delight tries swallow bite looks guilty walks children offers bread delight pet head ah huh sees walking daylight parade going onaladdin peers shoulders people sees achmed riding horse bystande
32,0,r way palace suppose bystander another suitor princess startled two children come running alley boy runs front horse startling way filthy brat brings whip attack children jumps front catches whip hey 
33,0,rich could afford manners ohi teach manners kicks mud puddle crowd laugh look every day see horse two rear ends stops turns back worthless street rat born street rat die street rat fleas mourn rushes 
34,0,doors castle slam shut face worthless fleas come let go home makes climb home view tucks night riffraff street rat buy theyd look closer would see poor boy siree theyd find much pulls back curtain rev
35,0,eal beautiful palace someday things gonna change rich live palace never problems dissolve shot day cut int chamber door bursts open achmed storms missing rear end pants never insulted oh achmed youre 
36,0,leaving soon good luck marrying oh goes garden looking daughter finds interrupted rajah pet tiger blocks rajah piece undershorts mouththe grabs cloth yanks rajah mouth confound rajah achmed stormed oh
37,0, father rajah playing rajah rajah comes allows pet hug playing overdressed selfabsorbed achmed cuddles rajah enjoying moment looks angry father ahem dearest got stop rejecting every suitor comes call 
38,0,law says must married walk dove cage next birthday law wrong got three days father hate forced takes dove cage pets marry want love law hands dove puts back cage going around forever want make sure yo
39,0,ure taken care provided try understand never done thing swirls finger water pond petting fishi never real friends rajah looks growls except rajah satisfied goes back sleep never even outside palace wa
40,0,lls youre princess maybe want princess splashes water oooohhh allah forbid daughters rajah looks thinks second goes dove cage yanks open door birds fly freedom watches go cut int chambers know gets mo
41,0,ther nearly picky shadow falls looks startled sees ooh oh ah jafarmy trusted advisor desperate need wisdom life serve lord bows suitor business refuses choose husband wit isend parrot voice awk wit is
42,0,end oh ha ha cracker pretty polly pulls cracker pocket looks terrified stuffs mouth grimaces tries eat laugh majesty certainly way dumb animals glares perhaps divine solution thorny problem anyone hel
43,0,p ah would require use mystic blue diamond uh ring family years necessary find princess suitor says word princess accent second syllable cess turns staff cobra head towards eyes staff begin glow room 
44,0,darkens voice slows deepens eyes get hypnotized look worry everything fine everythingwill befine diamond whatever need fine removes ring hands room returns normal pulls back staff gracious liege run a
45,0,long play little toys still hypnotized yesthat bepretty good exit follow theyre room parrot spits cracker ca take anymore gotta choke one moldy disgusting crackersbam whack pulls rope reveals hidden e
46,0,ntrance chambers calm id grab around head whack whack speaking soon addlepated twit stuff crackers throat ha ha pair pass door slam shut diss ext gardens night shadowy figure walks see disguise reache
47,0,s palace wall begins climb tugged behind rajah oh sorry rajah ca stay life lived miss youshe begins climb helped rajah begins whine whimper good bye disappears wall cut daytime street capers top awnin
48,0,g fruit stand okay go dips edge looks passing crowd try taste buds dance sing grabs melon hangs distracting attention hey get paws blah blah blah get away filthy ape grabs melon away foreground dips s
49,0,natches another melon stand bye bye zings back takes melon front places top stack looks confused like done nice goin breakfast served roof break open melon eat see j asmine walking street pretty lady 
50,0,buy pot finer pot brass silver sugar dates sugar dates figs sugar dates pistachios would lady like necklace pretty necklace pretty lady charmed action startled fish thrust face fresh fish catch em buy
51,0, em think backs away bumps fire eater startled swallowing fire oh excuse gulps belches fire mouth disgusted pleased taps stomach sees strange look comes face really sorry obviously deeply love wow pul
52,0,ls hood cloak head sees jumps shoulder waving hand front face uh oh hello hello stops fruit stand sees homeless child reaching piece fruit picks one gives oh must hungry go boy runs youd better able p
53,0,ay mystified pay one steals cart oh sorry sir money thief please let go palace get know penalty stealing takes hand pins table intending chop please sword drops hand stopped thank kind sir glad found 
54,0,looking whispering whispering back play along know girl sadly yes sister little crazy circles finger around ear shocked grabs vest said knows thinks monkey picking pocket hears straightens playing alo
55,0,ng kneels bows oh wise may serve well blah blah blah blah tragic leans forward picking another apple cart foot harm done walks come along sis time see camel standing nearby oh hello one whose pockets 
56,0,bulging come bows crowd everything stolen cart falls huh picks carry trio run come back little thieves cut int lab running gear bizarre contraption top contraption storm brewing huffing puffing due re
57,0,spect rottenness could wait real storm save breath faster places ring contraption yes mighty evil one runs faster lightning bolt streaks ring passing hourglass sands begin swirl ah sands timereveal on
58,0,e enter sand top forms wonders falls storm shows climbing ladder followed covered cloak yes yes diamond rough clown waitin loses footing sucked gears let guards extend invitation palace shall goes fly
59,0,ing past slams wall upside swell laughs hideously camera zooms sandstorm finally dissolve real climbing top ladder followed almost climbs top trips falls arms stands want thank stopping man uh forget 
